abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
abrade	L01 U02	[əˈbreɪd][sound:abrade.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+rad[词根ras, scrape, 刮磨]+-e[v.], scrape away→v.磨损，精神上折磨<br />　　　【注】词根rad, ras表示“刮磨[scrape]”, erase[抹去，擦去]字面含义“scrape[ras]out[e-=ex-]”，名词形式eraser[擦除器，橡皮]<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>磨损，精神上折磨：</ins></strong>to rub or <strong><ins>wear away</ins></strong> especially <strong><ins>by friction</ins></strong>; wear down spiritually<br /><strong>例</strong>　Their gossips abrade her into restlessness．他们的流言蜚语使她心烦意乱。<br /><strong>近</strong>　chafe, excoriate, rasp, graze, scuff<br /><strong>反</strong>　augment　增加<br />
abridge	L01 U02	[əˈbrɪdʒ][sound:abridge.mp3]<br />		<hr /><strong>构词</strong>　【联】a+bridge[桥]，桥直通两地，缩短距离→v.缩短，缩小；（写作上）缩短→v.在不改变本意的条件下删减词语，缩写<br /><strong>词根</strong>　<strong>brev</strong>　词根brev表示brief[简洁]。单词brief与词根brev同源（可看做brief的字母组合i脱落，清辅音f变成对应的浊辅音v）。<br /><strong>同根</strong>　brevity, abbreviate, abridge<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>缩短，缩小：</ins></strong>to <strong><ins>shorten</ins></strong> in duration or extent<br /><strong>例</strong>　The modern transportation abridges distance．现代运输方式缩短了路途。<br /><strong>近</strong>　curtail, truncate, cut back<br /><strong>反</strong>　extend in length, protract, amplify　延长，放大<br />
abrogate	L01 U02	[ˈæbrəɡeɪt][sound:abrogate.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+rog[ask]+-ate[v.], 要求…away→v.官方的正式废除；away (from) asking, 不过问→v.无视（某事的）存在<br /><strong>词根</strong>　<strong>rog</strong>　词根rog的含义相当于ask[命令，要求，问]，可以通过与词根log的拼写相似性进行记忆。<br /><strong>同根</strong>　abrogate, arrogance, interrogate, prerogative, surrogate<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>官方的正式废除：</ins></strong>to abolish by authoritative action, <strong><ins>annul</ins></strong><br /><strong>例</strong>　abrogate the law/treaty 废除法律、条约<br /><strong>近</strong>　disannul, invalidate, nullify, quash, rescind, roll back, strike down<br /><strong>反</strong>　embrace, uphold, institute　采纳；支持；建立<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>无视（某事的）存在：</ins></strong>to treat as <strong><ins>nonexistent</ins></strong><br /><strong>例</strong>　abrogate their responsibilities　抛开、不顾他们的责任<br />
abscond	L01 U02	[əbˈskɑːnd][sound:abscond.mp3]<br />		<hr /><strong>构词</strong>　【根】abs-[away]+cond[藏起来], store away→v.偷偷离开<br /><strong>词根</strong>　<strong>cond</strong>　词根cond表示“收藏，隐藏”（拼音联想“藏的”）。<br /><strong>同根</strong>　abscond, ensconce, recondite<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>偷偷离开：</ins></strong>to <strong><ins>depart secretly</ins></strong> and hide oneself<br /><strong>例</strong>　abscond from the prison　越狱<br /><strong>近</strong>　flee, lam, run off, break out (of), clear out<br />
absolute	L01 U03	[ˈæbsəluːt][sound:absolute.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+solut[loosen]+-e[a.], loosen awayfrom (constrains, etc.）, 形容某事物“没有被（能够影响它的东西）约束或沾染”，（君主的权力）没有被约束→a.专制的；（数量或程度上）没有约束→a.无限的；没有沾染（不好的东西）→a.完美的，纯净不掺杂的；没有沾染（削弱效力的东西）→a.不容置疑的，确凿的<br /><strong>词根</strong>　<strong>solv, solut</strong>　词根solv和solut表示loosen[松开，解开]。solve[解决；溶解]（名词形式solution）字面含义“解开”[solv, solut], 指“解开（绳结、问题）”, 以及“解开（被束缚成一个整体的物质）”。<br /><strong>同根</strong>　absolute, absolve, dissolute, dissolve, resolute, solvent<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>专制的：</ins></strong><strong><ins>unconstrained</ins></strong> by constitutional or other provisions<br /><strong>例</strong>　absolute ruler　专制的统治者<br /><strong>近</strong>　arbitrary, autocratic, despotic, dictatorial, monocratic, tyrannical<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>无限的：</ins></strong><strong><ins>unqualified</ins></strong> in extent or degree; total<br /><strong>例</strong>　absolute silence　鸦雀无声<br /><strong>近</strong>　complete, utter, deadly, downright, out-and-out<br /><strong>反</strong>　qualified　有限的，有保留的<br /><hr />【<strong>考法 3</strong>】<br />a. <strong><ins>完美的，纯净不掺杂的：</ins></strong><strong><ins>free from imperfection</ins></strong>; free or relatively free from <strong><ins>mixture</ins></strong><br /><strong>例</strong>　absolute alcohol　无水酒精（纯酒精）<br /><strong>近</strong>　plain, refined, unadulterated, unalloyed, undiluted, unmixed<br /><strong>反</strong>　adulterated, alloyed, diluted, impure, mixed　掺杂的，不纯的<br /><hr />【<strong>考法 4</strong>】<br />a. <strong><ins>不容置疑的，确凿的：</ins></strong>positive, <strong><ins>unquestionable</ins></strong><br /><strong>例</strong>　absolute proof　确凿的证据<br /><strong>近</strong>　clear, deciding, decisive, definitive<br /><strong>反</strong>　inconclusive, indecisive, unclear　不明确的<br />
absolve	L01 U03	[əbˈzɑːlv][sound:absolve.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+solv[loosen]+-e[v.], loosen away (from guilt)→v.使无罪，解除责任<br /><strong>词根</strong>　<strong>solv, solut</strong>　词根solv和solut表示loosen[松开，解开]。solve[解决；溶解]（名词形式solution）字面含义“解开”[solv, solut], 指“解开（绳结、问题）”, 以及“解开（被束缚成一个整体的物质）”。<br /><strong>同根</strong>　absolute, absolve, dissolute, dissolve, resolute, solvent<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>使无罪，解除责任：</ins></strong>to set <strong><ins>free from</ins></strong> an obligation or the consequences of <strong><ins>guilt</ins></strong>, <strong><ins>exculpate</ins></strong><br /><strong>例</strong>　absolve somebody from blame　使某人免受责备<br /><strong>近</strong>　acquit, exonerate, vindicate<br /><strong>反</strong>　blame, criminate, incriminate　定罪<br />
abstain	L01 U03	[əbˈsteɪn][sound:abstain.mp3]<br />		<hr /><strong>构词</strong>　【根】abs-[away]+tain[hold], away (from)“hold”, 不再持有→v.自我克制，主动戒绝<br /><strong>词根</strong>　<strong>tain, tin, ten (t)</strong>　词根tain, 以及变形tent, tin和ten都表示hold。contain[包含]（字面义hold...together[con-]）和attain[获得]（字面义to[at-=ad-]hold）都来自词根tain[hold]。continent[大陆]（字面义holdtogether）就是“连在一起（的土地）”。<br /><strong>同根</strong>　abstain, detain, pertain, retainer, content, malcontentn, countenance, retentive, tenable, untenable, tenacious, pertinent, impertinent, pertinacious, retinue<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>自我克制，主动戒绝：</ins></strong>to <strong><ins>refrain</ins></strong> from something <strong><ins>by one's own choice</ins></strong><br /><strong>例</strong>　abstain from smoking/voting　戒烟；弃权<br /><strong>近</strong>　forgo, keep from, refrain from, withhold (from)<br /><strong>反</strong>　bow to, give in to, submit to, succumb to, surrender to, yield to　屈服于<br />
abstemious	L01 U03	[əbˈstiːmiəs][sound:abstemious.mp3]<br />		<hr /><strong>构词</strong>　【联】abs-[away]+tem[tin, hold]+-(i) ous[a.], 不再拿起（烟酒）→a.（吃喝等）有节制的，节俭的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>（吃喝等）有节制的，节俭的：</ins></strong>marked by <strong><ins>restraint</ins></strong> especially in the consumption of <strong><ins>food or alcohol</ins></strong>, <strong><ins>sparing</ins></strong><br /><strong>例</strong>　an abstemious diet　有节制的饮食<br />　　abstemious meals　节俭的饭餐<br /><strong>近</strong>　continent, temperate, self-abnegating, self-denying<br /><strong>反</strong>　indulgent　放纵的<br />
abstract	L01 U03	[æbˈstrækt][sound:abstract.mp3]<br />		<hr /><strong>构词</strong>　【根】abs-[away]+tract[draw], drawaway (mainpoints)→vt.作总结，概括；draw away (attention)→vt.使分心<br /><strong>词根</strong>　<strong>tract</strong>　词根tract表示draw[拉], attract[吸引]字面含义“to[at-=ad-]draw[tract]”, 即“拉（注意力）”, 引申为“吸引”。abstract[抽象]就是“（从众多事物中）抽[tract]出[abs-]共同且本质的特征”。<br /><strong>同根</strong>　abstract, contract, detract, distract, distraught, extract, extraction, protract, retract, tractable<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>做总结，概括：</ins></strong>to make an <strong><ins>abstract</ins></strong> of, <strong><ins>summarize</ins></strong><br /><strong>例</strong>　abstract an essay　概括一篇文章<br /><strong>近</strong>　digest, recapitulate, synopsize, sum up, boil down<br /><strong>反</strong>　elaborate　详细描述<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>使分心：</ins></strong>to draw <strong><ins>away</ins></strong> the <strong><ins>attention</ins></strong> of<br /><strong>例</strong>　abstract my attention from work　转移我对工作的注意力<br /><strong>近</strong>　detract, divert, call off, throw off<br /><strong>派</strong>　abstraction n．心不在焉<br />　　<strong>反</strong>　attention　关注<br />
abstruse	L01 U03	[əbˈstruːs][sound:abstruse.mp3]<br />		<hr /><strong>构词</strong>　【联】abs-[away]+truse[truth], awayfrom“truth”, 与认为的真理不一致→a.难以理解的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>难以理解的：</ins></strong>difficult to comprehend: <strong><ins>recondite</ins></strong><br /><strong>例</strong>　the abstruse calculations　复杂深奥的计算<br /><strong>近</strong>　arcane, esoteric, hermetic (also hermetical), recondite<br /><strong>反</strong>　accessible, patent, shallow, superficial　可了解的，肤浅的<br />
absurd	L01 U03	[əbˈsзːrd][sound:absurd.mp3]<br />		<hr /><strong>构词</strong>　【联】ab-[away]+surd[sound], away from (being) sound→a.不合理的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>不合理的：</ins></strong>ridiculously <strong><ins>unreasonable</ins></strong>, unsound, or incongruous<br /><strong>例</strong>　an absurd argument　无稽之谈<br /><strong>近</strong>　wild, bizarre, ludicrous, insane, nonsensical, preposterous, half-baked<br /><strong>反</strong>　rational, sensible, realistic, reasonable　理性的，合理的<br />
abundant	L01 U03	[əˈbʌndənt][sound:abundant.mp3]<br />		<hr /><strong>构词</strong>　【记】ab-[away]+und[flow]+-ant[a.], （水）多得流走→a.大量的<br /><strong>词根</strong>　<strong>und</strong>　词根und表示flow[流]，例如abundant[大量的]形容流得多的。<br /><strong>同根</strong>　abundant, redundant, inundate<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>大量的：</ins></strong>marked by <strong><ins>great plenty</ins></strong> (as of resources)<br /><strong>例</strong>　an abundant land　一片富饶的土地<br /><strong>近</strong>　ample, cornucopian, teeming, replete, abounding<br /><strong>反</strong>　infrequent, rare, uncommon, inadequate, scanty, scarce　稀少的，罕见的<br />
abuse	L01 U03	[əˈbjuːz][sound:abuse.mp3]<br />		<hr /><strong>构词</strong>　【根】ab-[away]+use[v.], 偏离“正确的使用”→v.辱骂，抨击；不正当或不合理使用<br /><strong>词根</strong>　<strong>use</strong>　<br /><strong>同根</strong>　abuse, disabuse, peruse<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>辱骂，抨击：</ins></strong>to <strong><ins>condemn or vilify</ins></strong> usually unjustly, intemperately, and angrily<br /><strong>例</strong>　He alleged that he was verbally abused by his colleagues．他声称受到了同事的言语攻击。<br /><strong>近</strong>　assail, bash, castigate, excoriate, lambaste<br /><strong>派</strong>　abusive adj．辱骂的<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>不正当或不合理使用、过分过量使用：</ins></strong>to put to a <strong><ins>wrong or improper use</ins></strong> or to <strong><ins>use excessively</ins></strong><br /><strong>例</strong>　abuse a privilege　滥用特权<br />　　abuse alcohol　酗酒<br /><strong>近</strong>　misemploy, misuse<br />
acquainted	L01 U03	[əˈkweɪntɪd]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>熟悉的：</ins></strong><strong><ins>having information</ins></strong> especially as a result of study or experience<br /><strong>例</strong>　He was well acquainted with the literature of France, Germany and Holland．他对于法国、德国和荷兰的文学了如指掌。<br /><strong>近</strong>　familiar, conversant, knowledgeable, informed, versed, well-informed<br /><strong>反</strong>　ignorant, unacquainted, unfamiliar, uninformed, unknowledgeable　不了解<br />
abysmal	L01 U04	[əˈbɪzməl][sound:abysmal.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[without]+bysm[base, bottom]+-al[a.], withoutbase, 无底的（形容深的程度）→a.（程度）很深的，极端的；处境低微，“人生的低谷”→a.极低的，极可怜的<br />　　　【派】abyss[n.深渊]<br /><strong>词根</strong>　<strong>base</strong>　base[底部，基础]作词根时也表示“底部”。basement[地下室]就是一栋楼里“最底部[base]、最下面的屋子[-ment]”。<br /><strong>同根</strong>　abase, debase, self-abasement, abysmal<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>（程度）很深的；极端的：</ins></strong><strong><ins>immeasurably great</ins></strong><br /><strong>例</strong>　abysmal ignorance　极端的无知<br /><strong>近</strong>　profound<br /><strong>反</strong>　shallow, shoal, skin-deep, superficial　浅的；肤浅的<br />
accede	L01 U04	[əkˈsiːd][sound:accede.mp3]<br />		<hr /><strong>构词</strong>　【根】ac-[ad-, to]+ced[go]+-e[v.], go to (an agreement)→v.赞成；go to (an office)→v.就任，就职<br /><strong>词根</strong>　<strong>ced, cess</strong>　词根ced和cess表示go[走]，其中尾辅音d-s相互替换（很多情况下，词根中辅音字母的双写与单写在含义上是等价的，例如词根cess的ss可以看做s）。access[接近]字面含义“go[cess]to[ac-=ad-]”。<br /><strong>同根</strong>　accede, accessory, accessible, intercessor, precedent, predecessor, recessive, secede<br />	<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>赞成：</ins></strong>to express <strong><ins>approval</ins></strong> or give <strong><ins>consent</ins></strong><br /><strong>例</strong>　accede to public demand　顺应民意<br /><strong>近</strong>　acquiesce, assent, consent, subscribe, come round<br /><strong>反</strong>　demur, dissent　反对<br />
accentuate	L01 U04	[əˈksentʃueɪt][sound:accentuate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />v. <strong><ins>强调：</ins></strong>to make(something)more <strong><ins>noticeable</ins></strong><br /><strong>例</strong>　accentuate the importance of communication skill　强调沟通技巧的重要性<br /><strong>近</strong>　accent, emphasize, foreground, highlight<br /><strong>反</strong>　de-emphasize, play down, downplay　轻描淡写<br />
